Ref,Val,Package,PosX,PosY,Rot,Side
"J9","Conn_01x03","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",98.250000,-29.000000,0.000000,top
"J11","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",127.500000,-42.750000,0.000000,top
"J12","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",81.750000,-55.250000,0.000000,top
"J13","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",127.500000,-55.250000,0.000000,top
"J14","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",97.000000,-55.250000,0.000000,top
"J15","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",112.250000,-55.250000,0.000000,top
"U6","Teensy4.1","Teensy41",61.500000,-41.120000,0.000000,top
